[000]    0.00-  83.92 (83.9s) gap 0.0  There's a name printed inside the Ethereum white paper that almost nobody can pronounce. That name is Yonatan Sampolinsky. This is the man whose math is cited in the Ethereum white paper. The man who looked at Bitcoin, the most secure network ever built, and said it was too slow, then proved it on paper. He turned the blockchain into a block dag where blocks stop fighting and start stacking side by side. He took an idea off of a university chalkboard and launched it into a top crypto network. No company, no investors, no pre-mine, nothing but code. He's not a CEO, he's not an influencer, he's a quiet academic from Israel who rewrote how blockchains agree on reality. And while every other founder was selling you a dream, this man was publishing the papers that other founders quote. So half of crypto calls him a generational genius. The other half calls him an overrated academic that the Casper community turned into a messiah. Today we're not picking a side and shouting it. We put the receipts on the table. The story, ghost, Ethereum, Spectre, the chain that he actually built, and the strongest case against him too. Then you decide. Then at the end, I'll tell you exactly where I land and why. So where does this guy come from? Before the white papers, before Casper, before any of it. Yonatan was born and raised in Israel, and the Sam Polinsky name carries a story that most people have no idea about. His grandfather, David.
[001]   84.38-  90.03 ( 5.6s) gap 0.5  was a World War II hero who worked with the Danish resistance to smuggle hundreds of Jews
[002]   90.50-  92.30 ( 1.8s) gap 0.5  Out of Nazi-occupied Denmark.
[003]   92.77-  93.37 ( 0.6s) gap 0.5  safely.
[004]   93.74-  95.76 ( 2.0s) gap 0.4  into Sweden. His father, Hayem.
[005]   96.30-  99.38 ( 3.1s) gap 0.5  is one of the most respected brain scientists alive.
[006]   99.90- 102.61 ( 2.7s) gap 0.5  a Hebrew University and Harvard professor.
[017]  263.05- 277.36 (14.3s) gap 0.4  Sam Polinsky teamed up with Aviv Zohar and a third researcher, Jod Luenberg, on this second protocol. And if you never heard of it, that's the whole point. This is deep academic research that never had a marketing department behind it. It stands for serialization.
[018]  277.82- 280.88 ( 3.1s) gap 0.5  of proof of work events, confirming transactions.
[019]  281.25- 287.04 ( 5.8s) gap 0.4  via recursive elections. And no, I don't think you need to remember a single word of that, but
[020]  287.60- 296.72 ( 9.1s) gap 0.6  Spectre is a from the ground up design for a cryptocurrency that does not use a blockchain at all. It's not a coin that you can go buy. It's the research blueprint.
[021]  297.19- 302.24 ( 5.1s) gap 0.5  the real chain gets built from later. Bitcoin lines up blocks one behind another.
[022]  302.58- 303.53 ( 1.0s) gap 0.3  Single file.
[023]  303.90- 304.94 ( 1.0s) gap 0.4  every 10 minutes.
[024]  305.45- 307.95 ( 2.5s) gap 0.5  Spectre lets blocks be created in parallel.
[025]  308.44- 327.20 (18.8s) gap 0.5  many at the same moment, and each new block points back to several earlier ones. Instead of a chain, you get a web. That web is a DAG, a directed acyclic graph. The point of the web is speed. Nobody is stuck waiting in a single file line. The obvious problem with the web is, which block came first?
[026]  327.68- 334.32 ( 6.6s) gap 0.5  Spectra's answer is to let the blocks vote. Each new block effectively casts a vote on the order of the older ones.
[027]  334.62- 343.74 ( 9.1s) gap 0.3  You tally the votes and that settles it. That's the recursive elections part of the name. Voting is fast and it's great for one specific question.
[028]  344.22- 366.05 (21.8s) gap 0.5  Did payment A happen before payment B? But it does not hand you a single master list of every transaction in order. And you need the master list to run things like smart contracts. Spectre nailed the head to head but not the full line up. So Sanpaliski and Zohar took one more step and generalized Ghost onto the web. Ghost Dag keeps every honestly created block.
[029]  366.51- 374.60 ( 8.1s) gap 0.5  and uses how well connected each block is to pick out the honest cluster, then lays all of them down in one agreed order. That's the whole leap.
[030]  374.91- 390.24 (15.3s) gap 0.3  Bitcoin keeps one block and burns the rest Ghost egg keeps them all and still agrees on the order and that's the engine under cast By the way, click that like and click the subscribe button if you're not subscribed already if you like this content If you want to see more of it, of course
[031]  390.56- 399.86 ( 9.3s) gap 0.3  Click that like button and while you're at it, click the link in the description below. We got tons of tech and we got the most amazing calls ever. We outperform everybody.
[032]  400.18- 401.02 ( 0.8s) gap 0.3  I'm serious.
[033]  401.39- 402.57 ( 1.2s) gap 0.4  Click the link in the description!
[034]  403.14- 415.57 (12.4s) gap 0.6  now. So papers are cheap. Crypto is full of brilliant white papers and never come to a living network. The thing that separates Sam Polinsky from a pure academic is that he actually shipped in 2021.
[035]  415.98- 420.01 ( 4.0s) gap 0.4  Ghost Dag went from a PDF to a live proof of work layer one.
[036]  420.55- 424.19 ( 3.6s) gap 0.5  and then launch yourself as part of a genius case. No pre-mind.
[037]  424.49- 441.89 (17.4s) gap 0.3  no ICO, no pre-sale, no insider allocation. A founder who could have minted himself a fortune chose to launch it the hard, credibly neutral way. This is a deliberate choice, and it's the opposite of a hype grift. And he did not stop. With Michael Sutton, he co-authored Dag Night.
[038]  442.31- 447.09 ( 4.8s) gap 0.4  a parameterless responsive consensus that adapts to network conditions.
[039]  447.55- 480.71 (33.2s) gap 0.5  instead of hard coding them. That research didn't freeze in 2013. A real engine, a live chain, a clean network, and the next protocol actually written. That's not a man resting on a 2013 citation. But let's be honest, here's the other side. If I only give you the genius case, I'm selling you, not informing you. So here's the strongest version of overrated straight. Being cited in the Ethereum white paper is not the same as Ethereum depending on you. Full ghost was never the live fork choice. What shipped was a simplified uncle reward. A footnote in history.
[040]  481.08- 482.81 ( 1.7s) gap 0.4  is not a throne. Zohar.
[041]  483.27- 485.47 ( 2.2s) gap 0.5  Lewinburg, Wyborski, Sutton.
[042]  485.92- 490.44 ( 4.5s) gap 0.5  These papers were co-authored. The Casper Communities, One Lone Genius Story.
[043]  490.79- 497.71 ( 6.9s) gap 0.4  flattens a body of collaborative academic work into a cult of personality. IOTIS Tangle, Nano, Hashgraph
[044]  498.10- 504.97 ( 6.9s) gap 0.4  and others chased dag style ledgers in parallel. The idea of blocks in a graph was in the water. For all the research.
[045]  505.45- 512.03 ( 6.6s) gap 0.5  Casper is a fraction of the size all the changes compared to if the tech is this far ahead as skeptic acts
[046]  512.38- 517.52 ( 5.1s) gap 0.3  Why is the market not pricing a genius? Yes, haters are everywhere.
[047]  518.07- 521.51 ( 3.4s) gap 0.5  He's not a messiah, of course. So what's the verdict?
[048]  521.98- 525.17 ( 3.2s) gap 0.5  So the cult framing loses. He's not a messiah.
[049]  525.61- 547.61 (22.0s) gap 0.4  He didn't invent DAGs alone, and a citation is not a coronation. But strip all that away and look at what's still standing. A 2013 idea cited by the second biggest network in crypto. A line of protocols, Ghost to Spectre to Ghostag to Dagnight, each one solving what the latest one left open. An alive chain, fairly launched.
[050]  548.05- 551.43 ( 3.4s) gap 0.4  running the thing he proved on paper. Overrated men.
[051]  551.79- 575.03 (23.2s) gap 0.4  have one good year and a loud fan club. This man has a decade of work that other people keep building on. So that's not overrated. This is a quiet genius. The timeline is too distracted to notice and the market noticing late is exactly the asymmetry I look for. Tell me in the comments, genius overrated. I already told you mine.
