start	end	text
243980	246800	It's regulated by Congress and enforced by the treasury.
247540	248200	Same control.
248960	249640	None of the stigma.
249920	251620	That is the Trojan horse.
251620	258360	A quasi private central bank digital currency that the people install themselves because
258360	260560	it just looks like a better bank account.
260800	262000	Nobody writes over it.
262340	263160	Nobody cares.
263660	265600	Nobody writes over an app that pays them.
265900	267140	And that's exactly the point.
267460	269380	So here's the part that everyone trips up.
269580	271040	And honestly, it tripped me up too.
271220	273980	There's a real interest ban, but it's not in the clarity act.
274080	276820	And it does not do what people think it does.
277080	280140	The ban is in the genius act and that one's already law.
280140	283780	And it says the issuer of a stable coin, a company like Circle,
284340	286680	cannot pay you yield just for holding their coin.
286840	291680	The funny thing is that you're probably still earning yield on your stable coins right now.
291820	294200	So that begs the question, like what gives?
294520	296060	The ban stops at the issuer.
296340	297860	It never touches the exchanges.
298900	299940	Circle can't pay you.
300140	304640	But Coinbase can hand you about three and a half percent and call it a loyalty reward
304640	306800	because Coinbase isn't the issuer.
307160	308320	Same money, same interest.
308320	312200	It just takes one extra hop so it doesn't count as the issue we're paying you.
312300	314440	The law has a Coinbase shaped hole in it.
314460	318320	And that hole is worth over a billion dollars a year to Coinbase alone.
318640	320800	So now the banks want that hole closed.
321320	322900	Regulators are proposing closing it.
322980	325740	And the clarity act, the one stuck in a center right now,
325760	327680	is where the fight is playing out.
327740	329900	That's the real reason that clarity matters.
330220	332160	Not because it bans interest,
332480	335940	but because it decides whether or not that loophole lives or dies.
335940	338360	Whether you keep earning interest on your stable coins
338360	342680	and hellhard America gets to sell the dollar to the rest of the world.
342820	347480	Which is why this boring sounding bill matters more than the price of any coin this month.
347660	349200	And the timing is everything.
349720	353880	Right now the US government is drowning in debt and it needs the world to keep buying.
354160	357000	Long term treasury yields are near multi-decade highs.
357580	358900	Real demand is thin.
359100	361440	Every time America needed to sell more debt
361440	363900	it manufactured new users of the dollar.
364100	365340	Gold gave it Bretton Woods.
365340	367060	Oil gave it the petrodollar.
367280	368960	Now crypto gives us stable coins.
369480	373040	Estimates put the new treasury demand in the trillions over the coming years.
373200	376340	A fresh captive lender for the bankrupt government.
376580	378560	Built out of the world's everyday money.
378740	381480	So at the exact moment that the world is asking
381480	384100	how long is the dollar gonna last from here?
384980	389060	Washington's answer is to put the dollar into everybody's hand on the entire planet.
389180	391080	Not by force, by choice.
391080	395920	And behind the scenes your purchasing power gets funneled straight into the debt.
396200	400620	Papering over their spending and pushing the price of everything you actually need higher.
400800	403240	If you think that they won't use that to their advantage
403240	405440	then you haven't been paying attention.
405920	409380	I used to think that the dollar has about 20 or 30 years left.
409480	412720	But this right here guarantees it for at least another 50.
412940	416500	Which is exactly why smart money isn't holding a dollar right now.
416800	418920	It's holding things it can't print.
